budget,revenue,company
16000000,53478166,Mad Chance
16000000,53478166,Jaret Entertainment
16000000,53478166,Touchstone Pictures
85000000,183611771,Walt Disney Pictures
85000000,183611771,Cruella Productions
8000000,143451,Thinkfilm
350000,1e6,United Artists
350000,1e6,Orion-Nova Productions
37000000,96455697,Columbia Pictures
37000000,96455697,Revolution Studios
37000000,96455697,Thirteen Productions
25000000,94679598,The Weinstein Company
25000000,94679598,Di Bonaventura Pictures
25000000,94679598,Dimension Films
55000000,65664721,Donners' Company
55000000,65664721,Cheyenne Enterprises
55000000,65664721,Alcon Entertainment
55000000,65664721,Nu Image Entertainment GmbH
55000000,65664721,Millennium Films
55000000,65664721,Emmett/Furla Films
55000000,65664721,Equity Pictures Medienfonds GmbH & Co. KG III
55000000,65664721,16 Block Productions
35000000,31755742,Columbia Pictures
35000000,31755742,Universal Pictures
35000000,31755742,A-Team
76000000,236350661,Mikona Productions GmbH & Co. KG
76000000,236350661,Universal Pictures
76000000,236350661,Original Film
76000000,236350661,Ardustry Entertainment
6000000,6852450,Paramount Pictures
10500000,687e5,Stanley Kubrick Productions
10500000,687e5,Metro-Goldwyn-Mayer (MGM)
12000000,19271312,Paradis Films
12000000,19271312,Orly Films
12000000,19271312,Shanghai Film Group Corporation
12000000,19271312,Jet Tone Films
20000000,60427839,This Is That Productions
20000000,60427839,Y Productions
20000000,60427839,Mediana Productions Filmgesellschaft
15000000,13060843,40 Acres & A Mule Filmworks
15000000,13060843,Touchstone Pictures
30000000,160259319,Spyglass Entertainment
30000000,160259319,Fox 2000 Pictures
30000000,160259319,Dune Entertainment III
15000000,64238440,DNA Films
15000000,64238440,Figment Films
15000000,64238440,Sociedad General de Cine S.A.
15000000,64238440,UK Film Council
15000000,64238440,Fox Atomic
15000000,64238440,Koan Films
55000000,70016220,Tree Line Films
55000000,70016220,Lionsgate
55000000,70016220,Relativity Media
55000000,70016220,Yuma
30000000,75505973,Columbia Pictures
30000000,75505973,Dark Horse Entertainment
30000000,75505973,Ghost House Pictures
30000000,75505973,HorrorFlix
65000000,422610419,Virtual Studios
65000000,422610419,Legendary Pictures
65000000,422610419,Hollywood Gang Productions
65000000,422610419,Atmosphere Entertainment MM
65000000,422610419,Warner Bros.
65000000,422610419,Nimar Studios
65000000,422610419,Cruel and Unusual Films
62000000,18720175,Franchise Pictures
62000000,18720175,Warner Bros.
62000000,18720175,Morgan Creek Productions
130000000,289047763,Ingenious Film Partners
130000000,289047763,Twentieth Century Fox Film Corporation
130000000,289047763,1492 Pictures
130000000,289047763,Dune Entertainment
130000000,289047763,Constantin Film Produktion
130000000,289047763,Bernd Eichinger Productions
130000000,289047763,Marvel Enterprises
439000,2281e3,Warner Bros.
75000000,196482882,Columbia Pictures Corporation
75000000,196482882,Happy Madison Productions
75000000,196482882,Anonymous Content
75000000,196482882,Flower Films (II)
13000000,16757163,Redeemable Features
13000000,16757163,FilmColony
13000000,16757163,Miramax
13000000,16757163,Dollface
41000000,215e6,Imagine Entertainment
41000000,215e6,Mikona Productions GmbH & Co. KG
30000000,16930884,TriStar Pictures
30000000,16930884,Nu Image Entertainment
30000000,16930884,Brightlight Pictures
40000000,96618699,Columbia Pictures Corporation
40000000,96618699,Hofflund/Polone
40000000,96618699,Global Entertainment Productions GmbH & Company Medien KG
60000000,313542341,Imagine Entertainment
60000000,313542341,DreamWorks SKG
60000000,313542341,Universal Pictures
22000000,5075e4,United Artists
22000000,5075e4,Joseph E. Levine Productions
120000000,363258859,Walt Disney Pictures
120000000,363258859,Pixar Animation Studios
