budget,revenue,popularity,country,vote_average,rtAllCriticsRating
16000000,53478166,54.550275,United States of America,7.3,6
85000000,183611771,9.895061,United States of America,5.1,4.4
8000000,143451,3.942464,United States of America,6.3,4
350000,1e6,59.259204,United States of America,8.2,8.8
37000000,96455697,41.569541,United States of America,6.3,6.2
25000000,94679598,35.169779,United States of America,6.5,6.7
55000000,65664721,32.31022,United States of America,6.2,5.9
55000000,65664721,32.31022,Germany,6.2,5.9
35000000,31755742,10.032626,United States of America,5.6,5.2
76000000,236350661,10.520961,United States of America,6.2,4.8
6000000,6852450,3.561198,United States of America,6.1,4.5
10500000,687e5,86.201184,United States of America,7.9,8.8
10500000,687e5,86.201184,United Kingdom,7.9,8.8
12000000,19271312,12.664787,Germany,6.9,7.4
12000000,19271312,12.664787,Hong Kong,6.9,7.4
12000000,19271312,12.664787,China,6.9,7.4
12000000,19271312,12.664787,France,6.9,7.4
12000000,19271312,12.664787,Italy,6.9,7.4
20000000,60427839,32.243357,United States of America,7.2,7.5
15000000,13060843,30.196039,United States of America,7.2,7.1
30000000,160259319,30.695228,United States of America,6.1,5
15000000,64238440,34.759855,Spain,6.5,6.6
15000000,64238440,34.759855,United Kingdom,6.5,6.6
6000000,9e6,1.433692,United States of America,5.9,2.3
55000000,70016220,48.801089,United States of America,6.9,7.5
30000000,75505973,33.394082,New Zealand,6.2,5.5
30000000,75505973,33.394082,United States of America,6.2,5.5
65000000,422610419,65.197968,United States of America,7,6.1
62000000,18720175,11.262655,United States of America,5.8,3.5
130000000,289047763,60.810723,Germany,5.4,4.8
130000000,289047763,60.810723,United Kingdom,5.4,4.8
130000000,289047763,60.810723,United States of America,5.4,4.8
439000,2281e3,1.933366,United States of America,6.1,7.8
75000000,196482882,61.437586,United States of America,6.6,5.4
13000000,16757163,11.880899,United States of America,5.5,4.1
41000000,215e6,32.798571,United States of America,6.8,6.7
30000000,16930884,16.883429,United States of America,5.7,2.6
40000000,96618699,25.580272,United States of America,6.1,4.2
60000000,313542341,59.248437,United States of America,7.7,7.1
22000000,5075e4,20.256571,United Kingdom,6.9,6.6
22000000,5075e4,20.256571,United States of America,6.9,6.6
120000000,363258859,87.350802,United States of America,6.8,7.9
70000000,56702901,10.147321,United States of America,6.1,6.4
4,25,1.199451,United States of America,6.2,7.6
40000000,243240178,40.379966,United States of America,7.1,6.8
35000000,42064105,16.782471,United States of America,6.5,4.8
20000000,17432163,5.596835,United States of America,5.3,4.1
560000,12299668,10.730056,United Kingdom,7.3,8.2
32000000,60740827,34.628738,United States of America,6.9,7.9
32000000,60740827,34.628738,Canada,6.9,7.9
32000000,60740827,34.628738,Germany,6.9,7.9
6500000,1548955,5.483531,United States of America,6.8,5.7
65000000,117487473,36.670399,United States of America,6.6,5.8
30000000,42886719,19.212552,United States of America,6.5,4.9
10000000,29392418,3.290639,United States of America,6,3.6
36000000,44350926,19.854932,Germany,5.8,4
36000000,44350926,19.854932,United States of America,5.8,4
3900000,2835e4,9.541688,United Kingdom,7.5,7.8
16000000,18928871,9.717392,France,6.7,7
16000000,18928871,9.717392,United Kingdom,6.7,7
16000000,18928871,9.717392,Pakistan,6.7,7
16000000,18928871,9.717392,United States of America,6.7,7
6000000,18750246,4.053017,United States of America,6.6,7.4
17000000,30331165,12.709227,United States of America,5.9,3.4
1800000,25504513,38.204158,United States of America,7.2,7.7
5000000,44793222,17.304055,United States of America,6.5,5.9
7000000,725e5,17.113408,United States of America,5.8,5.3
3000000,29999213,21.607228,United States of America,5.7,4.8
8000000,27187653,9.548391,United Kingdom,6.9,7.3
8000000,27187653,9.548391,United States of America,6.9,7.3
14000000,22852638,20.792603,United States of America,6.2,5.8
3000000,20966644,7.961559,United Kingdom,6.9,8.6
8700000,7659918,26.093043,United States of America,6.8,6.6
28000000,8345056,1.767479,United States of America,5.5,4.6
80000000,5989640,7.342892,Czech Republic,4.8,2.9
80000000,5989640,7.342892,Germany,4.8,2.9
80000000,5989640,7.342892,United Kingdom,4.8,2.9
80000000,5989640,7.342892,United States of America,4.8,2.9
1800000,8e6,14.884756,United States of America,7.6,8.5
40000000,152266007,25.219805,United States of America,7,6.1
30000000,152427960,27.230493,France,6,4.8
30000000,152427960,27.230493,Iceland,6,4.8
30000000,152427960,27.230493,United Kingdom,6,4.8
30000000,152427960,27.230493,United States of America,6,4.8
11000000,41227069,33.283554,United States of America,7.5,4.1
25000000,10719357,3.888776,Australia,4.6,4.3
25000000,10719357,3.888776,United States of America,4.6,4.3
27000000,129e6,28.227984,United Kingdom,6.6,7.7
27000000,129e6,28.227984,United States of America,6.6,7.7
30000000,105834556,19.925026,United States of America,6.7,7.7
50000000,50068310,13.576765,United States of America,6.4,5.5
15000000,107217396,41.249004,United States of America,6.4,4.6
30000000,212385533,34.391792,United States of America,6.1,4.1
7000000,20256975,6.872784,United States of America,4.9,3.2
19000000,32801173,26.441669,United States of America,7.3,8.2
60000000,61347797,14.113066,United States of America,6,4.4
39000000,6614280,2.817364,Germany,4.5,4.2
39000000,6614280,2.817364,United States of America,4.5,4.2
28000000,58795814,11.859396,Canada,5,5.1
28000000,58795814,11.859396,United States of America,5,5.1
26000000,28818995,10.925618,United States of America,5.2,3.4
3000000,23144499,11.241802,Canada,5.3,4.9
3000000,23144499,11.241802,United States of America,5.3,4.9
85000000,315156409,36.38795,Germany,6.2,7
85000000,315156409,36.38795,United States of America,6.2,7
2600000,2850263,8.001156,United States of America,6.1,2.9
3500000,83453539,46.116885,United States of America,7.1,8.3
8000000,18948425,4.932893,United States of America,6.7,7
30000000,15368897,4.352422,United States of America,5,3.7
155000000,167298192,39.019229,France,5.6,3.9
155000000,167298192,39.019229,Germany,5.6,3.9
155000000,167298192,39.019229,Italy,5.6,3.9
155000000,167298192,39.019229,Netherlands,5.6,3.9
155000000,167298192,39.019229,United Kingdom,5.6,3.9
155000000,167298192,39.019229,United States of America,5.6,3.9
60000000,13395939,15.219263,United Kingdom,5.6,5.5
60000000,13395939,15.219263,United States of America,5.6,5.5
107000000,87713825,18.866672,United States of America,6.7,6.3
200000000,1025491110,78.530105,United States of America,6.4,6.5
70000000,162e6,37.44963,United States of America,5.9,5.8
18500000,183316455,67.66094,United Kingdom,7.7,8.8
18500000,183316455,67.66094,United States of America,7.7,8.8
32000000,36733909,14.48851,United States of America,6.7,6.4
14000000,25482931,5.102258,United States of America,5.8,4.3
60000000,47383689,21.547446,United States of America,7.4,7.8
20000000,10442808,9.292987,Canada,3.1,1.7
20000000,10442808,9.292987,Germany,3.1,1.7
20000000,10442808,9.292987,United States of America,3.1,1.7
42000000,171963386,33.238296,United States of America,5.8,4.8
60000000,361366633,47.336034,United States of America,5.5,4.4
18000000,51973029,31.82675,United States of America,7.8,8.6
15000000,356296601,80.878605,United States of America,7.9,8
100000000,266465037,42.361215,United Kingdom,7.4,7
100000000,266465037,42.361215,United States of America,7.4,7
777000,14e7,19.326115,United States of America,6.9,8.3
20000000,23875127,73.567232,United States of America,8.2,7.2
35000000,13678913,6.727949,United States of America,5.7,3.6
11000000,235483004,60.767168,United States of America,6.4,5.7
7000000,34266564,45.310443,Canada,7.3,6.3
7000000,34266564,45.310443,United States of America,7.3,6.3
55000000,231449203,36.194802,United States of America,6,5.8
36000000,74e6,3.698276,United States of America,6.8,6.9
2000000,20908467,23.281616,Mexico,7.6,7.8
20000000,7e6,2.605374,United States of America,4.1,2.9
14000000,18535191,4.519523,United Kingdom,6.3,7.4
14000000,18535191,4.519523,United States of America,6.3,7.4
1000000,46243e3,14.139004,United States of America,6.7,7.7
30000000,18618284,6.353971,United States of America,6.7,5.9
30000000,18618284,6.353971,Germany,6.7,5.9
45000000,136885767,27.684779,Brazil,4.7,4.7
45000000,136885767,27.684779,Peru,4.7,4.7
45000000,136885767,27.684779,United States of America,4.7,4.7
20000000,70992898,9.855474,United States of America,4.9,4.3
60000000,55003135,21.08952,Australia,5.7,4.8
60000000,55003135,21.08952,United States of America,5.7,4.8
80000000,176885658,29.415229,Australia,6.4,6.4
80000000,176885658,29.415229,United States of America,6.4,6.4
53000000,139804348,45.565918,United States of America,7.4,7.1
25,13,4.88794,Ireland,7,5.7
25,13,4.88794,United States of America,7,5.7
2700000,141e6,17.332585,United States of America,7,7.7
65000000,133821816,33.439187,United States of America,6,4.9
4000000,38251425,35.892034,United States of America,7.8,8.8
30000000,18195610,8.359599,Canada,5.8,4.1
30000000,18195610,8.359599,United States of America,5.8,4.1
12500000,23367586,13.349012,United States of America,6.7,6.9
60000000,171757863,41.515702,United States of America,6,7.7
55000000,100230832,23.127561,United States of America,6.8,5.5
23000000,18653615,8.976738,United States of America,5.9,6.4
31500000,89460381,49.973462,United States of America,8,8.8
40000000,120175290,41.570047,United States of America,7.3,6.3
52000000,355237933,68.140214,United States of America,7.3,8
20000000,20211394,16.074397,United States of America,6.3,6.6
12000000,23006849,16.931846,Australia,5.8,5.5
12000000,23006849,16.931846,United States of America,5.8,5.5
31000000,53208180,15.895661,United States of America,6.2,6.6
32000000,97918663,13.590677,United States of America,5.2,3.3
140000000,553799566,58.485967,United States of America,6.4,5.1
110000000,72178895,22.643776,Germany,5.7,4.8
110000000,72178895,22.643776,Ireland,5.7,4.8
110000000,72178895,22.643776,United Kingdom,5.7,4.8
110000000,72178895,22.643776,United States of America,5.7,4.8
86000000,107944236,27.097932,France,6,4.5
50000000,314178011,37.885022,United States of America,7.2,7.2
30000000,35294470,18.706504,United States of America,6,5.9
30000000,35294470,18.706504,France,6,5.9
20000000,21170563,5.422285,United States of America,6,5.9
120000000,186053725,51.548589,United States of America,6.7,5.3
30000000,129266061,33.369305,United Kingdom,7.4,7.3
30000000,129266061,33.369305,France,7.4,7.3
30000000,129266061,33.369305,United States of America,7.4,7.3
25000000,66122026,29.533437,United States of America,7.1,4.8
63000000,296655431,40.137264,United States of America,5.9,5.8
33000000,310940086,18.316151,United States of America,6.2,6
130000000,49554002,28.840997,Australia,6.3,5.9
130000000,49554002,28.840997,United States of America,6.3,5.9
130000000,49554002,28.840997,United Kingdom,6.3,5.9
7000000,2062066,7.051521,United States of America,6.1,6.7
70000000,171183863,42.957216,Canada,5.5,4.1
70000000,171183863,42.957216,Czech Republic,5.5,4.1
70000000,171183863,42.957216,Germany,5.5,4.1
70000000,171183863,42.957216,United Kingdom,5.5,4.1
70000000,171183863,42.957216,United States of America,5.5,4.1
86000000,14373825,18.172736,United States of America,6.3,4.3
30000000,254134910,34.36645,Australia,6,8.2
30000000,254134910,34.36645,United States of America,6,8.2
90000000,69131860,11.356079,Australia,5.2,6.2
25000000,135330182,25.785925,France,6.9,6.7
25000000,135330182,25.785925,Japan,6.9,6.7
25000000,135330182,25.785925,Mexico,6.9,6.7
25000000,135330182,25.785925,United States of America,6.9,6.7
16000000,29381649,7.854989,United States of America,7.4,6.1
12000000,36450736,4.580081,United States of America,3.3,1.9
30000000,63833449,11.409124,United States of America,5.8,6.2
50000000,16671505,21.312186,United States of America,5.8,3.9
70000000,72108608,27.568194,France,5.4,3.2
70000000,72108608,27.568194,United Kingdom,5.4,3.2
19000000,381109762,76.603233,United States of America,8,8.4
40000000,332e6,43.345252,United States of America,7.4,6
40000000,244527583,45.769562,United States of America,7.1,6.3
19000000,141407024,33.872182,United States of America,6.5,4.8
130000000,273339556,38.068736,United States of America,6.3,4.1
70000000,65977295,14.086292,United States of America,5.4,3.9
23000000,76488889,26.58873,Germany,6.5,6.7
23000000,76488889,26.58873,United States of America,6.5,6.7
70000000,19924033,8.37378,Germany,4.3,2.6
70000000,19924033,8.37378,United States of America,4.3,2.6
858000,267447150,47.651878,United States of America,6.8,8
2000000,11833696,5.941852,United States of America,6.7,7
35000000,10496317,20.27704,United States of America,5.8,5.4
35000000,10496317,20.27704,France,5.8,5.4
35000000,10496317,20.27704,Mexico,5.8,5.4
75000000,67631903,24.353302,United States of America,6.2,6.1
45000000,42487390,14.813057,United States of America,5,3.4
12000000,9584131,17.493735,France,6.5,7
9000000,25e5,14.171759,United States of America,5.7,6
51000000,72779e3,10.430832,Germany,5.3,4.4
51000000,72779e3,10.430832,United States of America,5.3,4.4
11000000,2e7,29.543331,United Kingdom,7.7,7.8
11000000,2e7,29.543331,United States of America,7.7,7.8
50000000,42792561,19.226763,United States of America,6.2,4.5
70000000,38629478,13.483387,Germany,4.6,3.1
70000000,38629478,13.483387,United Kingdom,4.6,3.1
70000000,38629478,13.483387,United States of America,4.6,3.1
35000000,411348924,44.104469,United Kingdom,7,6.2
35000000,411348924,44.104469,United States of America,7,6.2
150000000,374218673,115.040024,United Kingdom,7.5,7.7
150000000,374218673,115.040024,United States of America,7.5,7.7
100000000,336529144,48.205606,United Kingdom,5.2,5.2
100000000,336529144,48.205606,United States of America,5.2,5.2
80000000,28e7,59.113174,United Kingdom,6.6,6.5
80000000,28e7,59.113174,United States of America,6.6,6.5
1700000,8844595,13.315383,United States of America,5.5,4.7
53000000,95226116,18.61472,United States of America,5.4,4.6
60000000,60052138,40.721373,United States of America,5.6,4.8
25000000,36351350,5.625632,United States of America,5.4,5.3
14000000,32645546,3.334804,United States of America,6.1,5.8
16500000,37311672,18.236284,United Kingdom,6.9,6
16500000,37311672,18.236284,United States of America,6.9,6
48000000,90383208,19.348007,United States of America,5.6,5.4
80000000,212874442,23.531721,United States of America,5.9,4.4
150000000,287594577,29.332905,United States of America,5.7,5.7
17500000,19179969,14.304444,United States of America,5.8,5
2500000,5535405,23.672571,Austria,7.7,8.2
2500000,5535405,23.672571,Switzerland,7.7,8.2
2500000,5535405,23.672571,United States of America,7.7,8.2
2700000,15992615,14.799323,United States of America,7.6,8.3
40000000,91753202,24.012986,United States of America,6,4.7
13000000,22863596,27.546914,United States of America,7.3,8
