title,genre,vote_average,rtAllCriticsRating
10 Things I Hate About You,Comedy,7.3,6
10 Things I Hate About You,Romance,7.3,6
10 Things I Hate About You,Drama,7.3,6
102 Dalmatians,Comedy,5.1,4.4
102 Dalmatians,Family,5.1,4.4
10th & Wolf,Action,6.3,4
10th & Wolf,Crime,6.3,4
10th & Wolf,Drama,6.3,4
10th & Wolf,Mystery,6.3,4
10th & Wolf,Thriller,6.3,4
12 Angry Men,Drama,8.2,8.8
13 Going on 30,Comedy,6.3,6.2
13 Going on 30,Fantasy,6.3,6.2
13 Going on 30,Romance,6.3,6.2
1408,Horror,6.5,6.7
1408,Thriller,6.5,6.7
16 Blocks,Action,6.2,5.9
16 Blocks,Adventure,6.2,5.9
16 Blocks,Crime,6.2,5.9
16 Blocks,Thriller,6.2,5.9
1941,Action,5.6,5.2
1941,Comedy,5.6,5.2
2 Fast 2 Furious,Action,6.2,4.8
2 Fast 2 Furious,Crime,6.2,4.8
2 Fast 2 Furious,Thriller,6.2,4.8
200 Cigarettes,Comedy,6.1,4.5
200 Cigarettes,Drama,6.1,4.5
200 Cigarettes,Romance,6.1,4.5
2001: A Space Odyssey,Science Fiction,7.9,8.8
2001: A Space Odyssey,Mystery,7.9,8.8
2001: A Space Odyssey,Adventure,7.9,8.8
2046,Fantasy,6.9,7.4
2046,Drama,6.9,7.4
2046,Science Fiction,6.9,7.4
2046,Romance,6.9,7.4
21 Grams,Drama,7.2,7.5
21 Grams,Crime,7.2,7.5
21 Grams,Thriller,7.2,7.5
25th Hour,Crime,7.2,7.1
25th Hour,Drama,7.2,7.1
27 Dresses,Comedy,6.1,5
27 Dresses,Romance,6.1,5
28 Weeks Later,Horror,6.5,6.6
28 Weeks Later,Thriller,6.5,6.6
28 Weeks Later,Science Fiction,6.5,6.6
3 Strikes,Action,5.9,2.3
3 Strikes,Comedy,5.9,2.3
3 Strikes,Romance,5.9,2.3
3:10 to Yuma,Western,6.9,7.5
30 Days of Night,Horror,6.2,5.5
30 Days of Night,Thriller,6.2,5.5
300,Action,7,6.1
300,Adventure,7,6.1
300,War,7,6.1
3000 Miles to Graceland,Action,5.8,3.5
3000 Miles to Graceland,Adventure,5.8,3.5
3000 Miles to Graceland,Comedy,5.8,3.5
3000 Miles to Graceland,Thriller,5.8,3.5
3000 Miles to Graceland,Crime,5.8,3.5
Fantastic 4: Rise of the Silver Surfer,Adventure,5.4,4.8
Fantastic 4: Rise of the Silver Surfer,Fantasy,5.4,4.8
Fantastic 4: Rise of the Silver Surfer,Action,5.4,4.8
Fantastic 4: Rise of the Silver Surfer,Thriller,5.4,4.8
42nd Street,Music,6.1,7.8
42nd Street,Comedy,6.1,7.8
42nd Street,Romance,6.1,7.8
50 First Dates,Comedy,6.6,5.4
50 First Dates,Romance,6.6,5.4
54,Music,5.5,4.1
54,Drama,5.5,4.1
8 Mile,Drama,6.8,6.7
88 Minutes,Crime,5.7,2.6
88 Minutes,Mystery,5.7,2.6
88 Minutes,Thriller,5.7,2.6
8MM,Thriller,6.1,4.2
8MM,Crime,6.1,4.2
8MM,Mystery,6.1,4.2
A Beautiful Mind,Drama,7.7,7.1
A Beautiful Mind,Romance,7.7,7.1
A Bridge Too Far,Drama,6.9,6.6
A Bridge Too Far,History,6.9,6.6
A Bridge Too Far,War,6.9,6.6
A Bug's Life,Adventure,6.8,7.9
A Bug's Life,Animation,6.8,7.9
A Bug's Life,Comedy,6.8,7.9
A Bug's Life,Family,6.8,7.9
A Civil Action,Drama,6.1,6.4
A Farewell to Arms,Drama,6.2,7.6
A Farewell to Arms,Romance,6.2,7.6
A Farewell to Arms,War,6.2,7.6
A Few Good Men,Drama,7.1,6.8
A Good Year,Comedy,6.5,4.8
A Good Year,Drama,6.5,4.8
A Good Year,Romance,6.5,4.8
A Guy Thing,Comedy,5.3,4.1
A Guy Thing,Romance,5.3,4.1
A Hard Day's Night,Comedy,7.3,8.2
A Hard Day's Night,Music,7.3,8.2
A History of Violence,Drama,6.9,7.9
A History of Violence,Thriller,6.9,7.9
A History of Violence,Crime,6.9,7.9
A Home at the End of the World,Romance,6.8,5.7
A Home at the End of the World,Drama,6.8,5.7
A Knight's Tale,Adventure,6.6,5.8
A Knight's Tale,Drama,6.6,5.8
A Knight's Tale,Romance,6.6,5.8
A Knight's Tale,Action,6.6,5.8
A Lot Like Love,Comedy,6.5,4.9
A Low Down Dirty Shame,Action,6,3.6
A Low Down Dirty Shame,Comedy,6,3.6
A Low Down Dirty Shame,Crime,6,3.6
A Man Apart,Action,5.8,4
A Man Apart,Drama,5.8,4
A Man for All Seasons,Drama,7.5,7.8
A Man for All Seasons,History,7.5,7.8
A Mighty Heart,Drama,6.7,7
A Mighty Heart,Thriller,6.7,7
A Mighty Wind,Comedy,6.6,7.4
A Mighty Wind,Music,6.6,7.4
A Night at the Roxbury,Comedy,5.9,3.4
A Nightmare on Elm Street,Horror,7.2,7.7
A Nightmare on Elm Street 3: Dream Warriors,Horror,6.5,5.9
A Nightmare on Elm Street 3: Dream Warriors,Thriller,6.5,5.9
A Nightmare on Elm Street 4: The Dream Master,Horror,5.8,5.3
A Nightmare on Elm Street 4: The Dream Master,Thriller,5.8,5.3
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,5.7,4.8
A Passage to India,Drama,6.9,7.3
A Passage to India,Adventure,6.9,7.3
A Passage to India,History,6.9,7.3
A Perfect Getaway,Thriller,6.2,5.8
A Perfect Getaway,Mystery,6.2,5.8
A Perfect Getaway,Adventure,6.2,5.8
A Room with a View,Drama,6.9,8.6
A Room with a View,Romance,6.9,8.6
A Scanner Darkly,Animation,6.8,6.6
A Scanner Darkly,Science Fiction,6.8,6.6
A Scanner Darkly,Thriller,6.8,6.6
A Simple Wish,Adventure,5.5,4.6
A Simple Wish,Comedy,5.5,4.6
A Simple Wish,Family,5.5,4.6
A Simple Wish,Fantasy,5.5,4.6
A Sound of Thunder,Thriller,4.8,2.9
A Sound of Thunder,Science Fiction,4.8,2.9
A Sound of Thunder,Adventure,4.8,2.9
A Sound of Thunder,Action,4.8,2.9
A Streetcar Named Desire,Drama,7.6,8.5
A Time to Kill,Crime,7,6.1
A Time to Kill,Drama,7,6.1
A Time to Kill,Thriller,7,6.1
A View to a Kill,Adventure,6,4.8
A View to a Kill,Action,6,4.8
A View to a Kill,Thriller,6,4.8
A Walk to Remember,Drama,7.5,4.1
A Walk to Remember,Romance,7.5,4.1
Abandon,Drama,4.6,4.3
Abandon,Mystery,4.6,4.3
Abandon,Thriller,4.6,4.3
About a Boy,Drama,6.6,7.7
About a Boy,Comedy,6.6,7.7
About a Boy,Romance,6.6,7.7
About Schmidt,Drama,6.7,7.7
About Schmidt,Comedy,6.7,7.7
Absolute Power,Crime,6.4,5.5
Absolute Power,Drama,6.4,5.5
Absolute Power,Thriller,6.4,5.5
Ace Ventura: Pet Detective,Comedy,6.4,4.6
Ace Ventura: Pet Detective,Mystery,6.4,4.6
Ace Ventura: When Nature Calls,Crime,6.1,4.1
Ace Ventura: When Nature Calls,Comedy,6.1,4.1
Ace Ventura: When Nature Calls,Adventure,6.1,4.1
Action Jackson,Action,4.9,3.2
Action Jackson,Adventure,4.9,3.2
Action Jackson,Comedy,4.9,3.2
Action Jackson,Crime,4.9,3.2
Action Jackson,Drama,4.9,3.2
Adaptation.,Comedy,7.3,8.2
Adaptation.,Crime,7.3,8.2
Adaptation.,Drama,7.3,8.2
After the Sunset,Action,6,4.4
After the Sunset,Comedy,6,4.4
After the Sunset,Crime,6,4.4
After the Sunset,Drama,6,4.4
Against the Ropes,Romance,4.5,4.2
Against the Ropes,Drama,4.5,4.2
Agent Cody Banks,Action,5,5.1
Agent Cody Banks 2: Destination London,Comedy,5.2,3.4
Air Bud,Comedy,5.3,4.9
Air Bud,Family,5.3,4.9
Air Bud,Drama,5.3,4.9
Air Force One,Action,6.2,7
Air Force One,Thriller,6.2,7
Airborne,Action,6.1,2.9
Airborne,Adventure,6.1,2.9
Airborne,Comedy,6.1,2.9
Airplane!,Comedy,7.1,8.3
Akeelah and the Bee,Drama,6.7,7
Alex & Emma,Comedy,5,3.7
Alex & Emma,Romance,5,3.7
Alexander,War,5.6,3.9
Alexander,History,5.6,3.9
Alexander,Action,5.6,3.9
Alexander,Adventure,5.6,3.9
Alexander,Drama,5.6,3.9
Alexander,Romance,5.6,3.9
Alfie,Comedy,5.6,5.5
Ali,Drama,6.7,6.3
Alice in Wonderland,Family,6.4,6.5
Alice in Wonderland,Fantasy,6.4,6.5
Alice in Wonderland,Adventure,6.4,6.5
Alien: Resurrection,Science Fiction,5.9,5.8
Alien: Resurrection,Horror,5.9,5.8
Alien: Resurrection,Action,5.9,5.8
Aliens,Horror,7.7,8.8
Aliens,Action,7.7,8.8
Aliens,Thriller,7.7,8.8
Aliens,Science Fiction,7.7,8.8
Alive,Action,6.7,6.4
Alive,Adventure,6.7,6.4
Alive,Drama,6.7,6.4
Alive,Thriller,6.7,6.4
All About the Benjamins,Action,5.8,4.3
All About the Benjamins,Adventure,5.8,4.3
All About the Benjamins,Comedy,5.8,4.3
Almost Famous,Drama,7.4,7.8
Almost Famous,Music,7.4,7.8
Alone in the Dark,Action,3.1,1.7
Alone in the Dark,Fantasy,3.1,1.7
Alone in the Dark,Horror,3.1,1.7
Alone in the Dark,Thriller,3.1,1.7
Along Came Polly,Comedy,5.8,4.8
Along Came Polly,Romance,5.8,4.8
Alvin and the Chipmunks,Comedy,5.5,4.4
Alvin and the Chipmunks,Music,5.5,4.4
Alvin and the Chipmunks,Family,5.5,4.4
Alvin and the Chipmunks,Fantasy,5.5,4.4
Alvin and the Chipmunks,Animation,5.5,4.4
Amadeus,Drama,7.8,8.6
Amadeus,History,7.8,8.6
Amadeus,Music,7.8,8.6
American Beauty,Drama,7.9,8
American Gangster,Drama,7.4,7
American Gangster,Crime,7.4,7
American Graffiti,Comedy,6.9,8.3
American Graffiti,Drama,6.9,8.3
American History X,Drama,8.2,7.2
American Outlaws,Action,5.7,3.6
American Outlaws,Western,5.7,3.6
American Pie,Comedy,6.4,5.7
American Pie,Romance,6.4,5.7
American Psycho,Thriller,7.3,6.3
American Psycho,Drama,7.3,6.3
American Psycho,Crime,7.3,6.3
American Wedding,Comedy,6,5.8
American Wedding,Romance,6,5.8
Amistad,Drama,6.8,6.9
Amistad,History,6.8,6.9
Amistad,Mystery,6.8,6.9
Amores perros,Drama,7.6,7.8
Amores perros,Thriller,7.6,7.8
An American Carol,Comedy,4.1,2.9
An American Carol,Fantasy,4.1,2.9
An Ideal Husband,Drama,6.3,7.4
An Ideal Husband,Comedy,6.3,7.4
An Ideal Husband,Romance,6.3,7.4
An Inconvenient Truth,Documentary,6.7,7.7
An Unfinished Life,Drama,6.7,5.9
Anaconda,Adventure,4.7,4.7
Anaconda,Horror,4.7,4.7
Anaconda,Thriller,4.7,4.7
Anacondas: The Hunt for the Blood Orchid,Adventure,4.9,4.3
Anacondas: The Hunt for the Blood Orchid,Action,4.9,4.3
Anacondas: The Hunt for the Blood Orchid,Horror,4.9,4.3
Anacondas: The Hunt for the Blood Orchid,Science Fiction,4.9,4.3
Anacondas: The Hunt for the Blood Orchid,Thriller,4.9,4.3
Analyze That,Comedy,5.7,4.8
Analyze That,Crime,5.7,4.8
Analyze This,Comedy,6.4,6.4
Analyze This,Crime,6.4,6.4
Anastasia,Animation,7.4,7.1
Anastasia,Family,7.4,7.1
Angela's Ashes,Drama,7,5.7
Animal House,Comedy,7,7.7
Annie,Comedy,6,4.9
Annie,Drama,6,4.9
Annie,Family,6,4.9
Annie Hall,Comedy,7.8,8.8
Annie Hall,Drama,7.8,8.8
Annie Hall,Romance,7.8,8.8
Antitrust,Action,5.8,4.1
Antitrust,Crime,5.8,4.1
Antitrust,Drama,5.8,4.1
Antwone Fisher,Drama,6.7,6.9
Antwone Fisher,Romance,6.7,6.9
Antz,Adventure,6,7.7
Antz,Animation,6,7.7
Antz,Comedy,6,7.7
Antz,Family,6,7.7
Any Given Sunday,Drama,6.8,5.5
Anywhere But Here,Drama,5.9,6.4
Anywhere But Here,Comedy,5.9,6.4
Anywhere But Here,Romance,5.9,6.4
Apocalypse Now,Drama,8,8.8
Apocalypse Now,War,8,8.8
Apocalypto,Action,7.3,6.3
Apocalypto,Adventure,7.3,6.3
