budget,genres,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore
16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 497, ""name"": ""shakespeare""}, {""id"": 5923, ""name"": ""sister""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 8224, ""name"": ""cannabis""}, {""id"": 9758, ""name"": ""deception""}, {""id"": 11870, ""name"": ""teen movie""}, {""id"": 53994, ""name"": ""shrew""}, {""id"": 53995, ""name"": ""archery""}, {""id"": 156115, ""name"": ""feel-good ending""}, {""id"": 165301, ""name"": ""opposites attract""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 188237, ""name"": ""teenage romance""}, {""id"": 214594, ""name"": ""play adaptation""}, {""id"": 218182, ""name"": ""overprotective father""}]",en,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",54.550275,"[{""name"": ""Mad Chance"", ""id"": 1757}, {""name"": ""Jaret Entertainment"", ""id"": 1783}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-03-30,53478166,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,How do I loathe thee? Let me count the ways.,10 Things I Hate About You,7.3,1701,1999,,6,58,34,24,58,6.3,12,7,5,58,3.3,207830,69
85000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","[{""id"": 212, ""name"": ""london england""}, {""id"": 378, ""name"": ""prison""}, {""id"": 3398, ""name"": ""release from prison""}, {""id"": 5424, ""name"": ""women's prison""}, {""id"": 6491, ""name"": ""society for the prevention of cruelty to animals""}, {""id"": 8841, ""name"": ""puppy""}, {""id"": 8905, ""name"": ""pelz""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 158369, ""name"": ""dalmatian""}]",en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",9.895061,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Cruella Productions"", ""id"": 10472}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-07,183611771,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Meet Two Unlikely Heroes With A Bone To Pick.,102 Dalmatians,5.1,313,2000,102_dalmatians,4.4,89,27,62,30,4.2,27,8,19,29,2.9,17460,44
8000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 1568, ""name"": ""undercover""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 33421, ""name"": ""crime family""}]",en,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",3.942464,"[{""name"": ""Thinkfilm"", ""id"": 446}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-02-19,143451,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The Intersection Where Family, Honor and Betrayal Collide.",10th & Wolf,6.3,24,2006,10th_and_wolf,4,27,5,22,18,3.5,10,1,9,10,3.1,9910,44
350000,"[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 934, ""name"": ""judge""}, {""id"": 1417, ""name"": ""jurors""}, {""id"": 2118, ""name"": ""sultriness""}, {""id"": 2122, ""name"": ""death penalty""}, {""id"": 2123, ""name"": ""father murder""}, {""id"": 2124, ""name"": ""puerto rican""}, {""id"": 2142, ""name"": ""anonymity""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3772, ""name"": ""heat""}, {""id"": 6040, ""name"": ""group""}, {""id"": 6069, ""name"": ""class""}, {""id"": 6139, ""name"": ""innocence""}, {""id"": 6148, ""name"": ""court""}, {""id"": 33519, ""name"": ""courtroom""}]",en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Orion-Nova Productions"", ""id"": 10212}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1957-03-25,1e6,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2078,1957,1000013-12_angry_men,8.8,36,36,0,100,0,4,4,0,100,4.1,22784,95
37000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 242, ""name"": ""new york""}, {""id"": 1003, ""name"": ""photographer""}, {""id"": 4222, ""name"": ""editor-in-chief""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 8711, ""name"": ""michael jackson""}, {""id"": 163069, ""name"": ""child as an adult""}, {""id"": 178329, ""name"": ""best friends in love""}]",en,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",41.569541,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Thirteen Productions"", ""id"": 19636}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-13,96455697,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,"For some, 13 feels like it was just yesterday. For Jenna, it was.",13 Going on 30,6.3,1204,2004,13_going_on_30,6.2,161,104,57,64,6.6,35,26,9,74,3.3,96034,70
25000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 236, ""name"": ""suicide""}, {""id"": 242, ""name"": ""new york""}, {""id"": 612, ""name"": ""hotel""}, {""id"": 657, ""name"": ""fire""}, {""id"": 922, ""name"": ""hotel room""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 2872, ""name"": ""window""}, {""id"": 3255, ""name"": ""door""}, {""id"": 3358, ""name"": ""haunted house""}, {""id"": 3664, ""name"": ""research""}, {""id"": 5280, ""name"": ""ghost world""}, {""id"": 5918, ""name"": ""painting""}, {""id"": 6103, ""name"": ""telephone""}, {""id"": 6381, ""name"": ""loss of daughter""}, {""id"": 11221, ""name"": ""blood""}]",en,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",35.169779,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-07-12,94679598,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The only demons in room 1408 are those within you.,1408,6.5,1343,2007,1408,6.7,165,129,36,78,6.7,32,25,7,78,3.4,349462,61
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 3045, ""name"": ""mission of murder""}, {""id"": 167863, ""name"": ""male bonding""}, {""id"": 175600, ""name"": ""doing the right thing""}, {""id"": 232411, ""name"": ""people change""}]",en,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",32.31022,"[{""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Nu Image Entertainment GmbH"", ""id"": 4741}, {""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""Emmett/Furla Films"", ""id"": 10405}, {""name"": ""Equity Pictures Medienfonds GmbH & Co. KG III"", ""id"": 10885}, {""name"": ""16 Block Productions"", ""id"": 10886}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2006-03-01,65664721,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661,2006,16_blocks,5.9,157,87,70,55,5.8,35,18,17,51,3.2,31478,60
35000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]","[{""id"": 339, ""name"": ""submarine""}, {""id"": 387, ""name"": ""california""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2770, ""name"": ""war ship""}, {""id"": 3365, ""name"": ""pearl harbor""}, {""id"": 8201, ""name"": ""satire""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 236316, ""name"": ""anarchic comedy""}]",en,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",10.032626,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""A-Team"", ""id"": 6128}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1979-12-13,31755742,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Paranoia meets pandemonium.,1941,5.6,143,1979,1941,5.2,21,7,14,33,0,1,0,1,0,3,5333,48
76000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 416, ""name"": ""miami""}, {""id"": 830, ""name"": ""car race""}, {""id"": 999, ""name"": ""sports car""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 33885, ""name"": ""car""}, {""id"": 159953, ""name"": ""automobile racing""}]",en,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",10.520961,"[{""name"": ""Mikona Productions GmbH & Co. KG"", ""id"": 24}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Ardustry Entertainment"", ""id"": 26281}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-06-05,236350661,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,How Fast Do You Want It?,2 Fast 2 Furious,6.2,2028,2003,2_fast_2_furious,4.8,155,56,99,36,4.8,33,13,20,39,3.1,176485,59
6000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","[{""id"": 613, ""name"": ""new year's eve""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 14534, ""name"": ""relationship""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 199856, ""name"": ""lower east side""}]",en,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",3.561198,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-02-26,6852450,101,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes,6.1,44,1999,200_cigarettes,4.5,57,17,40,29,3.9,19,5,14,26,3,5146,54
